Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec,CONF,P_five,Pos,RAS,AllTime
2016,2,9,40,Sterling Shepard,GIANTS,WR,Oklahoma,621,3,45,B12,1,WR,7.62,8.2
2016,2,16,47,Michael Thomas,SAINTS,WR,Ohio State,1391,14,71,B10,1,WR,9.12,9.32
2016,2,24,55,Tyler Boyd,BENGALS,WR,Pittsburgh,1174,7,85,ACC,1,WR,4.27,5.13
2016,3,22,85,Braxton Miller,TEXANS,WR,Ohio State,NA,NA,NA,NA,0,WR,8.59,8.74
2016,3,23,86,Leonte Carroo,DOLPHINS,WR,Rutgers,478,9,28,B10,1,WR,6.97,7.37
2016,4,9,107,Chris Moore,RAVENS,WR,Cincinnati,645,9,45,Amer,0,WR,7.95,8.5
2016,4,14,112,Malcolm Mitchell,PATRIOTS,WR,Georgia,665,4,45,SEC,1,WR,8.08,8.7
2016,4,16,114,Ricardo Louis,BROWNS,WR,Auburn,325,2,28,SEC,1,WR,9.23,9.45
2016,4,19,117,Pharoh Cooper,RAMS,WR,South Carolina,54,1,3,SEC,1,WR,2.06,2.66
2016,4,28,126,Demarcus Robinson,CHIEFS,WR,Florida,43,0,6,SEC,1,WR,5.86,6.57
2016,5,1,140,Tajae Sharpe,TITANS,WR,Massachusetts,680,4,61,A10,0,WR,5.31,5.72
2016,5,15,154,Jordan Payton,BROWNS,WR,UCLA,440,1,38,P12,1,WR,6.85,7.52
2016,5,26,163,Trevor Davis,PACKERS,WR,California,366,3,28,P12,1,WR,9.14,9.29
2016,5,28,165,Tyreek Hill,CHIEFS,WR,West Alabama,NA,NA,NA,NA,0,WR,9.39,9.43
2016,5,35,172,Rashard Higgins,BROWNS,WR,Colorado State,837,6,68,P12,1,WR,1.66,2.12
2017,1,5,5,Corey Davis,TITANS,WR,Western Michigan,941,6,67,MAC,0,WR,NA,NA
2017,1,7,7,Mike Williams,CHARGERS,WR,Clemson,837,10,60,ACC,1,WR,7.24,7.45
2017,1,9,9,John Ross,BENGALS,WR,Washington,208,1,16,P12,1,WR,9.51,9.48
2017,2,5,37,Zay Jones,BILLS,WR,East Carolina,1746,8,158,Amer,0,WR,9.71,9.75
2017,2,8,40,Curtis Samuel,PANTHERS,WR,Ohio State,865,14,74,B10,1,WR,7.46,7.83
2017,2,30,62,JuJu Smith-Schuster,STEELERS,WR,USC,1454,10,89,P12,1,NA,NA,NA
2017,3,5,69,Cooper Kupp,RAMS,WR,Eastern Washington,189,3,10,BSky,0,WR,5,5.33
2017,3,8,72,Taywan Taylor,TITANS,WR,Western Kentucky,270,0,24,CUSA,0,WR,8.7,8.92
2017,3,15,79,ArDarius Stewart,JETS,WR,Alabama,NA,NA,NA,SEC,1,NA,NA,NA
2017,3,18,82,Carlos Henderson,BRONCOS,WR,Louisiana Tech,1535,19,82,CUSA,0,WR,5.75,6.27
2017,3,20,84,Chris Godwin,BUCCANEERS,WR,Penn State,1101,10,69,B10,1,WR,9.66,9.73
2017,3,32,96,Kenny Golladay,LIONS,WR,Northern Illinois,47,0,3,MAC,0,WR,8.95,9.15
2017,3,34,98,Chad Williams,CARDINALS,WR,Grambling State,42,0,2,NA,0,WR,9.01,9.22
2017,3,42,106,Amara Darboh,SEAHAWKS,WR,Michigan,0,0,0,B10,1,WR,9.6,9.65
2017,4,3,110,Dede Westbrook,JAGUARS,WR,Oklahoma,1524,17,80,B12,1,WR,4.84,5.16
2017,4,10,117,Josh Reynolds,RAMS,WR,Texas A&M,1039,12,61,SEC,1,WR,9.1,9.26
2017,4,12,118,Mack Hollins,EAGLES,WR,North Carolina,0,0,0,ACC,1,WR,NA,NA
2017,4,22,128,Josh Malone,BENGALS,WR,Tennessee,972,11,50,SEC,1,WR,7.03,7.42
2017,4,27,133,Ryan Switzer,COWBOYS,WR,North Carolina,1112,6,96,ACC,1,WR,4.83,5.06
2017,4,33,139,Jehu Chesson,CHIEFS,WR,Michigan,221,1,15,B10,1,WR,7.95,8.18
2017,4,35,141,Chad Hansen,JETS,WR,California,28,0,4,P12,1,WR,7.39,7.71
2017,5,22,166,Shelton Gibson,EAGLES,WR,West Virginia,951,8,53,B12,1,WR,3.98,4.5
2017,5,27,170,Rodney Adams,VIKINGS,WR,South Florida,15,0,2,Amer,0,WR,6.02,6.44
2017,5,29,172,Isaiah McKenzie,BRONCOS,WR,Georgia,633,14,44,SEC,1,NA,NA,NA
2017,5,32,175,DeAngelo Yancey,PACKERS,WR,Purdue,546,2,32,B10,1,WR,9.08,9.25
2017,5,34,177,Trent Taylor,49ERS,WR,Louisiana Tech,260,2,28,CUSA,0,WR,4,4.3
2018,1,24,24,D.J. Moore,PANTHERS,WR,Maryland,1033,16,80,B10,1,WR,9.65,9.72
2018,1,26,26,Calvin Ridley,FALCONS,WR,Alabama,1045,14,89,SEC,1,WR,5.13,5.32
2018,2,8,40,Courtland Sutton,BRONCOS,WR,Southern Methodist,1246,10,76,NP5,0,WR,9.81,9.81
2018,2,12,44,Dante Pettis,49ERS,WR,Washington,822,15,53,P12,1,WR,0.04,0.05
2018,2,15,47,Christian Kirk,CARDINALS,WR,Texas A&M,1009,14,80,SEC,1,WR,6.24,6.41
2018,2,19,51,Anthony Miller,BEARS,WR,Memphis,1462,18,96,Amer,0,WR,9.27,9.34
2018,2,28,60,James Washington,STEELERS,WR,Oklahoma State,1549,13,74,B12,1,WR,5.56,5.77
2018,2,29,61,DJ Chark,JAGUARS,WR,Louisiana State,873,3,40,SEC,1,NA,NA,NA
2018,3,17,81,Michael Gallup,COWBOYS,WR,Colorado State,1413,14,100,P12,1,WR,5.87,6.1
2018,3,27,91,Tre\'Quan Smith,SAINTS,WR,Central Florida,NA,NA,NA,NA,0,NA,NA,NA
2018,4,3,103,Keke Coutee,TEXANS,WR,Texas Tech,1429,10,93,B12,1,WR,5.64,5.85
2018,4,5,105,Antonio Callaway,BROWNS,WR,Florida,721,6,54,SEC,1,WR,6.21,6.45
2018,4,13,113,DaeSean Hamilton,BRONCOS,WR,Penn State,857,9,53,B10,1,WR,8.09,8.26
2018,4,32,132,Jaleel Scott,RAVENS,WR,New Mexico State,1079,9,76,NP5,0,WR,7.6,7.85
2018,4,33,133,J\'Mon Moore,PACKERS,WR,Missouri,NA,NA,NA,SEC,1,NA,NA,NA
2018,5,7,144,Justin Watson,BUCCANEERS,WR,Pennsylvania,1082,14,81,NP5,0,WR,9.61,9.65
2018,5,25,162,Jordan Lasley,RAVENS,WR,UCLA,1264,9,69,P12,1,WR,4.47,4.58
2018,5,37,174,Marquez Valdes-Scantling,PACKERS,WR,South Florida,281,0,22,Amer,0,WR,9.26,9.33
2019,1,25,25,Marquise Brown,RAVENS,WR,Oklahoma,1318,10,75,B12,1,WR,NA,NA
2019,1,32,32,N\'Keal Harry,PATRIOTS,WR,Arizona State,NA,NA,NA,NA,0,NA,NA,NA
2019,2,4,36,Deebo Samuel,49ERS,WR,South Carolina,882,11,62,SEC,1,WR,7.91,8.06
2019,2,19,51,A.J. Brown,TITANS,WR,Mississippi,1320,12,85,SEC,1,WR,8.6,8.71
2019,2,24,56,Mecole Hardman,CHIEFS,WR,Georgia,532,14,34,SEC,1,WR,8.31,8.37
2019,2,25,57,JJ Arcega-Whiteside,EAGLES,WR,Stanford,1059,14,63,P12,1,NA,NA,NA
2019,2,27,59,Parris Campbell,COLTS,WR,Ohio State,1063,12,90,B10,1,WR,9.76,9.77
2019,2,30,62,Andy Isabella,CARDINALS,WR,Massachusetts,1063,12,90,A10,0,WR,7.26,7.39
